This behavior is known to be very effective for dealingwith well-known DDoS attacks.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(ADJP (RB )(JJ ))(PP (IN )(NP (RB )(JJ )(NNP )(NNS ))))))))(. )))
Subsequently, attack will be analyzed by using a ro-bust control estimation to reconstruct the attack traffic.; (TOP (S (ADVP (RB ))(, )(NP (NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(S (VP (VBG )(NP (DT )(JJ )(NN )(NN ))(S (VP (TO )(VP (VB )(NP (DT )(NN )(NN )))))))))))(. )))
This is thefirst time that both spectral analysis and robust control estimationhave been coupled and used on a UAV ad hoc network traffic.; (TOP (S (NP (DT ))(VP (VBZ )(NP (NP (DT )(NN ))(SBAR (WHNP (IN ))(S (NP (NP (DT )(JJ )(NN ))(CC )(NP (JJ )(NN )))(VP (VBP )(VP (VBN )(VP (VP (VBN ))(CC )(VP (VBN )(PP (IN )(NP (DT )(NNP )(NN )(NN )(NN )(NN )))))))))))(. )))
The main contribution of this paper is to propose a new hy-brid method which is able to detect traffic anomalies .Tests with real network conditions have been performed to eval-uate the characteristics of this method and to explore the possi-bilities of future integration.; (TOP (S (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NN ))))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(JJ )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(ADJP (JJ )(S (VP (TO )(VP (VB )(NP (NN )(NNS )(NNS ))(PP (IN )(NP (JJ )(NN )(NNS )))(VP (VBP )(VP (VBN )(VP (VBN )(S (VP (VP (TO )(VP (VB )(NP (NP (DT )(NNS ))(PP (IN )(NP (DT )(NN ))))))(CC )(VP (TO )(VP (VB )(NP (NP (DT )(NNS ))(PP (IN )(NP (JJ )(NN )))))))))))))))))))))))(. )))
The preliminary design of our newIDS process and its theoretical assessment have been faced withreal traffic traces.; (TOP (S (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (PRP$ )(JJ )(NN ))(CC )(NP (PRP$ )(JJ )(NN )))))(VP (VB )(VP (VBN )(VP (VBN )(NP (DT )(NN )(NNS )))))(. )))
These traces have been generated using a hy-brid UAV network simulator.; (TOP (S (NP (DT )(NNS ))(VP (VBP )(VP (VBN )(VP (VBN )(S (VP (VBG )(NP (DT )(JJ )(NNP )(NN )(NN )))))))(. )))
Consequently, the validation of thenew IDS system is improved by testing its performances faced withreal DDoS attacks, real UAV trajectories, real UAV background traf-fic, and real UAV fleet topology in real-time.; (TOP (S (ADVP (RB ))(, )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NNP )(NN ))))(VP (VBZ )(VP (VBN )(PP (IN )(S (VP (VBG )(NP (NP (PRP$ )(NNS ))(VP (VBN )(NP (NP (DT )(NNP )(NNS ))(, )(NP (JJ )(NNP )(NNS ))(, )(NP (JJ )(NNP )(NN )(NN ))(, )(CC )(NP (NP (JJ )(NNP )(NN )(NN ))(PP (IN )(NP (NN ))))))))))))(. )))
Finally, different typesof anomaly have been considered and they are all accurately de-tected by the intrusion detection process we propose in this paper.First results for the proposed Intrusion Detection System  in afleet of UAVs are promising.; (TOP (S (S (S (ADVP (RB ))(, )(NP (NP (JJ ))(PP (IN )(NP (PRP ))))(VP (VBP )(VP (VBN )(VP (VBN )))))(CC )(S (NP (PRP ))(VP (VBP )(ADVP (DT )(RB ))(VP (VBN )(PP (IN )(NP (DT )(NN )(NN )(NN )))))))(S (NP (PRP ))(VP (VBP )(PP (IN )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (NP (DT )(VBN )(NNP )(NNP )(NNP ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NNP )))))))))))(VP (VBP )(VP (VBG )))(. )))
In the sequel, Section 2 addresses the state of the art of FANETand the new challenges risen with this new topic, Then we presentthe characterization tools described in the literature to extract net-work traffic signatures and the theoretical background of our pro-posed controller / observer system.; (TOP (S (S (PP (IN )(NP (DT )(NN )))(, )(NP (NN )(CD ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP ))))))(NP (NP (DT )(JJ )(NNS ))(SBAR (S (VP (VBN )(PP (IN )(NP (DT )(JJ )(NN )))))))))(, )(S (ADVP (RB ))(NP (PRP ))(VP (VBP )(NP (NP (NN )(NNS ))(VP (VBN )(PP (IN )(NP (DT )(NN )))(S (VP (TO )(VP (VB )(NP (NP (NN )(NN )(NNS ))(CC )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (PRP$ )(JJ )(NN )(NN )(NN )(NN ))))))))))))(. )))
Section 3 presents the ba-sics of the characterization and the modeling adopted to tacklethe time-delay linear estimation problem of determining the statevector components of a fluid-flow model fitted out with a TCPmodel.; (TOP (S (NP (NN )(CD ))(VP (VBZ )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (DT )(NN ))(CC )(NP (NP (DT )(JJ ))(VP (VBN )(PP (TO )(NP (NP (DT )(NN )(NN )(NN )(NN ))(PP (IN )(S (VP (VBG )(S (NP (NP (DT )(NN )(NNS ))(PP (IN )(NP (DT )(NN )(NN ))))(VP (VBD )(PRT (RP ))(PP (IN )(NP (DT )(NNP ))))))))))))))))(. )))
Section 3 also introduces the principles of our IDS method-ology which combines spectral analysis and traffic reconstruc-tion.; (TOP (S (NP (NN )(CD ))(ADVP (RB ))(VP (VBZ )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (PRP$ )(NNP )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (JJ )(NN )(CC )(NN )(NN )))))))))(. )))
Section 4 gathers all the results obtained after solving thetime-delay linear estimation problem in real conditions.; (TOP (S (NP (NNP )(CD )(NNS ))(NP (DT )(DT )(NNS ))(VP (VBD )(PP (IN )(S (VP (VBG )(NP (DT )(NN )(NN )(NN ))(PP (IN )(NP (JJ )(NNS )))))))(. )))
Finally,Section 5 describes the details about the proposed hybrid IDS im-plementation in real-time real-world environments, and introducesdifferent test methods that we have examined and results we haveobtained before we draw the conclusion.; (TOP (S (S (ADVP (RB ))(, )(NP (NN )(CD ))(VP (VBZ )(NP (NP (DT )(NNS ))(PP (IN )(NP (NP (DT )(VBN )(NN )(NNP )(NN ))(PP (IN )(NP (JJ )(NN )(NNS ))))))))(, )(CC )(S (NP (NP (NP (JJ )(NN )(NNS ))(SBAR (WHNP (IN ))(S (NP (PRP ))(VP (VBP )(VP (VBN ))))))(CC )(NP (NP (NP (NNS ))(SBAR (S (NP (PRP ))(VP (VBD )))))(PP (IN )(NP (PRP )))))(VP (VBP )(NP (DT )(NN ))))(. )))
2. Related work The intrusion detection methodology proposed in this paper isthe result of a collaboration between two scientific fields.; (TOP (NP (NP (DT )(JJ )(NN ))(SBAR (S (NP (DT )(NN )(NN )(NN ))(VP (VBN )(PP (IN )(NP (DT )(NN )))(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (CD )(JJ )(NNS )))))))))(. )))
The firstone is related to traffic characterization.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (TO )(NP (NN )(NN )))))(. )))
It uses spectral analysis inorder to generate a specific traffic signature.; (TOP (S (NP (PRP ))(VP (VBZ )(NP (JJ )(NN )(NN ))(S (VP (TO )(VP (VB )(NP (DT )(JJ )(NN )(NN ))))))(. )))
The second is relatedto automatic control methods applied for traffic reconstruction.; (TOP (S (NP (DT )(JJ ))(VP (VBZ )(VP (VBN )(S (NP (JJ )(NN )(NNS ))(VP (VBD )(PP (IN )(NP (NN )(NN )))))))(. )))
Ituses robust controller / observer methods to analyze the traffic andPlease cite this article as: J.-P.; (TOP (S (NP (NP (DT )(JJ )(NN )(NN )(NN )(NNS ))(SBAR (S (VP (TO )(VP (VB )(NP (DT )(NN )(NN )))))))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))(. )))
Condomines et al., Network intrusion detdesign to real test validation, Ad Hoc Networks , https://doi.org/1ebuild; (TOP (S (S (NP (NNS ))(VP (VBD )(ADJP (JJ ))))(. )(, )(NP (NP (NNP )(NN )(NN ))(PP (TO )(NP (NP (JJ )(NN )(NN ))(, )(NP (NNP )(NNP )(NNP )))))(, )(VP (VBZ )(NP (NNP )))(. )))
its characteristics and behavior.; (TOP (NP (NP (PRP$ )(NNS ))(CC )(NP (NN ))(. )))
In the next subsections, weill summarize the latest research on the related fields.; (TOP (S (PP (IN )(NP (DT )(JJ )(NNS )))(, )(NP (NN ))(VP (VB )(NP (NP (DT )(JJS )(NN ))(PP (IN )(NP (DT )(JJ )(NNS )))))(. )))
.1.; (TOP (S (VP (VB ))(. )))
UAV ad-hoc network and challenges The use of a fleet of UAV is advantageous and just as challeng-ng.; (TOP (NP (NP (NNP )(JJ )(NN )(CC )(NNS ))(SBAR (S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP ))))))(VP (VBZ )(ADJP (ADJP (JJ ))(CC )(ADJP (ADJP (RB ))(PP (IN )(NP (NN ))))))))(. )))
A number of researches have been conducted to identify dif-erent threats.; (TOP (S (NP (NP (DT )(NN ))(PP (IN )(NP (NNS ))))(VP (VBP )(VP (VBN )(VP (VBN )(S (VP (TO )(VP (VB )(NP (JJ )(NNS ))))))))(. )))
In  , the authors have addressed the unique char-cteristics related to Flying Ad-hoc Network or FANET which needo be specifically taken care of during the design of the networkystem.; (TOP (PP (IN )(, )(S (NP (DT )(NNS ))(VP (VBP )(VP (VBN )(NP (NP (DT )(JJ )(NNS ))(VP (VBN )(PP (TO )(NP (NP (NNP )(NNP )(NNP )(CC )(NNP ))(SBAR (WHNP (WDT ))(S (VP (VBP )(VP (VB )(ADVP (RB ))(VP (VBN )(NP (NN ))(PP (IN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )))))))))))))))))(. )))
In  the authors have discussed in detail the possibleecurity threats within the drone communication system includingyberattacks such as Jamming, Spoofing or Intruding the wirelessetwork system.; (TOP (S (PP (IN )(NP (DT )(NNS )))(VP (VBP )(VP (VP (VBN )(PP (IN )(NP (NN )))(NP (DT )(NN )(NNS ))(PP (IN )(NP (NP (DT )(NN )(NN )(NN )(NNS ))(PP (JJ )(IN )(NP (NNP ))))))(, )(VP (VBG )(CC )(VBG )(NP (DT )(NN )(NN )))))(. )))
One of the most significant challenge while se-uring a FANET comes from the mobility of the network structure.ANET is essentially a subset of Mobile Ad-hoc Network 3] .; (TOP (S (NP (NP (CD ))(PP (IN )(NP (DT )(ADJP (RBS )(JJ ))(NN ))))(SBAR (IN )(S (S (VP (VBG )(NP (DT )(NNP ))))(VP (VBZ )(PP (IN )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )(NN ))))(SBAR (S (NP (NNP ))(VP (VBZ )(ADVP (RB ))(NP (NP (DT )(NN ))(PP (IN )(NP (NNP )(NNP )(NNP )(NNP ))))))))))))(. )))
In contrast to a stationary ad-hoc network, a FANET is sub-ect to constant changes of network topology due to the continu-us variation of number and roles of the participants in the net-ork.; (TOP (S (PP (IN )(NP (NP (NN ))(PP (TO )(NP (DT )(JJ )(JJ )(NN )))))(, )(NP (DT )(NNP ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (NN )(NN ))(ADJP (JJ )(PP (TO )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (NN )(CC )(NNS ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (DT )(NN ))))))))))))))))(. )))
Moreover, a drone system is built upon complex wirelessensory sub-systems  , and an UAV is designed to operate withs less human intervention as possible.; (TOP (S (S (ADVP (RB ))(, )(NP (DT )(NN )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (JJ )(JJ )(NNS ))))))(, )(CC )(S (NP (DT )(NNP ))(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(PP (IN )(NP (NP (JJR )(JJ )(NN ))(PP (IN )(ADJP (JJ )))))))))))(. )))
Those natures have poten-ially make the UAV network defense a Whac-a-Mole game.; (TOP (S (NP (DT )(NNS ))(VP (VBP )(RB )(VP (VB )(S (NP (DT )(NNP )(NN )(NN ))(NP (DT )(JJ )(NN )))))(. )))
Fur-hermore, a secured communication alone is not enough to ensurehe safety of the overall FANET communication system as demon-trated in  .; (TOP (S (NP (NP (NNP ))(, )(NP (NP (DT )(JJ )(NN ))(ADVP (RB ))))(VP (VBZ )(RB )(ADJP (RB )(S (VP (TO )(VP (VB )(NP (NP (NN ))(PP (IN )(NP (DT )(JJ )(NNP )(NN )(NN ))))(PP (IN )(NP (JJ )(NN ))))))))(. )))
For example, in  the authors discussed a sce-ario where attacks can happen on a illegally captured drone.; (TOP (S (PP (IN )(NP (NN )))(, )(PP (IN )(NP (DT )(NNS )))(VP (VBD )(NP (DT )(NN ))(SBAR (WHADVP (WRB ))(S (NP (NNS ))(VP (MD )(VP (VB )(PP (IN )(NP (DT )(RB )(VBN )(NN ))))))))(. )))
In-eed, for a FANET, the risk of losing a drone to the wrong handsemains to be practical.; (TOP (S (NP (NNP ))(, )(PP (IN )(NP (NP (DT )(NNP ))(, )(NP (NP (DT )(NN ))(PP (IN )(S (VP (VBG )(NP (DT )(NN ))(PP (TO )(NP (DT )(JJ )(NNS )))(S (VP (TO )(VP (VB )(ADJP (JJ )))))))))))(. )))
In such case, hackers can get access tohe network regardless the wireless encryption and launch dif-erent attacks to the network from within.; (TOP (S (S (PP (IN )(NP (JJ )(NN )))(, )(NP (NNS ))(VP (MD )(VP (VB )(NP (NN )))))(. )(NP (NN ))(VP (VBZ )(NP (DT )(JJ )(NN )(CC )(NN )(JJ )(NNS ))(PP (TO )(NP (DT )(NN )))(PP (IN )(ADVP (IN ))))(. )))
But most importantly,ANET is undoubtedly making its way into civil airspace.; (TOP (S (CC )(ADVP (RBS )(RB ))(NP (NNP ))(VP (VBZ )(VP (ADVP (RB ))(VBG )(NP (PRP$ )(NN ))(PP (IN )(NP (JJ )(NN )))))(. )))
As a con-equent, the safety perspective rather than the security perspec-ive will have the uttermost importance - a secured FANET canelp improve the safety of UAV fleets, but it is more importanto ensure the safety of the overall system even if the network isompromised.; (TOP (S (S (PP (IN )(NP (DT )(JJ )))(, )(NP (NP (DT )(NN )(NN ))(PP (RB )(IN )(NP (DT )(NN )(NN ))))(VP (MD )(VP (VB )(S (NP (NP (DT )(JJ )(NN ))(: )(NP (DT )(VBN )(NNP )(NN )))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP )(NNS )))))))))(, )(CC )(S (NP (PRP ))(VP (VBZ )(ADVP (RBR ))(PP (IN )(S (VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))(SBAR (RB )(IN )(S (NP (DT )(NN ))(VP (VBN )))))))))(. )))
Hence, existing network security strategies for fixed-opology is deemed no longer effective.; (TOP (S (ADVP (RB ))(, )(NP (NP (VBG )(NN )(NN )(NNS ))(PP (IN )(NP (NN ))))(VP (VBZ )(VP (VBN )(ADVP (RB )(RBR ))(ADJP (JJ ))))(. )))
The new network securitytrategies must be implemented to ensure the safety of the systemy also taking into account the mobility of the network, variousossible attacks and the risk of attacks from within the network.; (TOP (S (NP (DT )(JJ )(NN )(NNS ))(VP (MD )(VP (VB )(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))(ADVP (RB ))(VP (VBG )(PP (IN )(NP (NN )))(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(, )(NP (JJ )(NNS ))(CC )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(PP (IN )(NP (DT )(NN )))))))))))))))))(. )))
.2. Network intrusion detection systems for FANET The civil applications of UAVs have experienced a very rapiddvancement in the last decade.; (TOP (NP (NP (CD )(. )(NNP )(NN )(NN )(NNS ))(PP (IN )(NP (NP (NNP ))(SBAR (S (NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (NNP ))))(VP (VBP )(VP (VBN )(NP (DT )(ADJP (RB )(JJ ))(PP (IN )(NP (DT )(JJ )(NN ))))))))))(. )))
Alongside their recent achieve-ents and promising future, its issues are just surfacing.; (TOP (S (PP (IN )(NP (NP (PRP$ )(JJ )(NNS ))(CC )(NP (JJ )(NN ))))(, )(NP (PRP$ )(NNS ))(VP (VBP )(ADVP (RB ))(VP (VBG )))(. )))
Variousesearches have been conducted to address aforementioned chal-enges such as GPS spoofing, eavesdropping and signal jamming,9] but only until recent years, the network intrusion detection forANET has finally caught the attention from the drone community.n; (TOP (S (S (NP (NNS ))(VP (VP (VBP )(VP (VBN )(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (VBN )(NNS ))(PP (JJ )(IN )(NP (NNP )(NN )))))(, )(VP (VBG )))))))(CC )(VP (VBP )(VP (VBG )(PP (RP )(CC )(PP (ADVP (RB ))(IN )(NP (JJ )(NNS ))))))))(, )(NP (DT )(NN )(NN )(NN )(NN ))(VP (VBZ )(ADVP (RB ))(VP (VBN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )(NN ))))))(. )))
the authors have proposed an IDS design based on beliefpproach to identify the prime suspect of intruder inside a FANET.his; (TOP (S (NP (DT )(NNS ))(VP (VBP )(VP (VBN )(NP (NP (DT )(NNP )(NN ))(VP (VBN )(PP (IN )(NP (NN )))))(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (DT )(VBG )))))))))))))
approach has an improved false positive rate against misbe-aviors of a member of the network.; (TOP (S (NP (NN ))(VP (VBZ )(NP (NP (DT )(JJ )(JJ )(JJ )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )))))))))(. )))
However, this method is fo-using on general misbehaviors of a member and requiring priornowledge of all possible behaviors of the system.; (TOP (S (ADVP (RB ))(, )(NP (DT )(NN ))(VP (VBZ )(VP (VP (VBG )(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (DT )(NN ))))))(CC )(VP (VBG )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (DT )(NN )))))))))(. )))
In contrary, were proposing a new IDS method based on both spectral signaturenalysis and robust control/estimation theory aiming specifically atetecting network intrusion within the network.; (TOP (S (PP (IN )(NP (NN )))(, )(VP (VBD )(VP (VBG )(NP (DT )(JJ )(NNP )(NN ))(PP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(CC )(NP (NP (JJ )(NN )(NN ))(VP (VBG )(ADVP (RB ))(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (DT )(NN )))))))))))(. )))
The two methodsre considered complimentary to the future design of FANET IDSystems.; (TOP (S (NP (DT )(CD )(NN ))(VP (VBD )(ADJP (JJ )(PP (TO )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NNP )(NNP )))))))(. )))
ection system for UAV ad-hoc communication: From methodology 0.1016/j.adhoc.2018.09.004 https://doi.org/10.1016/j.adhoc.2018.09.004J.-P.; (TOP (NP (NP (NP (NN )(NN ))(PP (IN )(NP (NNP )(JJ )(NN ))))(: )(PP (IN )(NP (NN )(CD )(NNS )))(. )(. )))
Condomines et al. / Ad Hoc Networks 0 0 0  114 3 ARTICLE IN PRESS JID: ADHOC  Fig. 1.; (TOP (S (S (NP (NNS ))(VP (VBD )(ADJP (JJ ))))(. )('' )(NP (NNP )(NNP )(NNP )(CD )(CD )(CD )(CD )(CD )(NN ))(PP (IN )(NP (NP (NNP )(NNP ))(: )(NP (NNP )(NNP )(NNP )(CD ))))(. )))
General two-step framework of the proposed IDS system.; (TOP (NP (NP (NNP )(JJ )(NN ))(PP (IN )(NP (DT )(VBN )(NNP )(NN )))(. )))
Fig. 2. Example of WLM signature of a data series at statistic moment q = 2 .; (TOP (S (S (VP (VB )))(. )(VP (VBD )(NP (NP (NNP ))(PP (IN )(NP (NP (NNP )(NN ))(PP (IN )(NP (DT )(NN )(NN ))))))(PP (IN )(NP (JJ )(NN )))(NP (NNP )(SYM )(CD )))(. )))
Fig. 3. Example of WLM signature at multiple statistical moments. 2 a  [  (  Fig. 4. sources / receivers connection in a fleet of UAVs. a   can be an efficient parameter to quantify the level of vari-Please cite this article as: J.-P.; (TOP (S (S (VP (VB )))(. )(VP (VBD )(S (NP (NP (NP (NNP ))(PP (IN )(NP (NNP )(NN ))))(PP (IN )(NP (JJ )(JJ )(NNS ))))(VP (VBD )(NP (NP (CD ))(SBAR (S (NP (NP (DT )(NN ))(-LRB- )(NP (NNP )(NNP )(CD ))(. )(NP (NNS ))(NP (NP (JJR )(NNS )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP ))))))(, )(NP (DT )))(VP (MD )(VP (VB )(NP (NP (DT )(JJ )(NN ))(SBAR (S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NN ))))(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))))))))))))))(. )))
Condomines et al., Network intrusion detdesign to real test validation, Ad Hoc Networks , https://doi.org/1bility of Internet traffic.; (TOP (S (S (NP (NNS ))(VP (VBD )(ADJP (JJ ))))(. )(, )(NP (NP (NNP )(NN )(NN ))(PP (TO )(NP (NP (JJ )(NN )(NN ))(, )(NP (NNP )(NNP )(NNP )))))(, )(VP (VBZ )(NP (NP (NNP )(NN ))(PP (IN )(NP (NN )(NN )))))(. )))
They have developed a specific methodincluding a Matlab toolbox) to process data traffic.; (TOP (S (S (NP (PRP ))(VP (VBP )(VP (VBN )(NP (NP (DT )(JJ ))(VP (VBG )(NP (DT )(NNP )(NN )))))))(-RRB- )(VP (TO )(VP (VB )(NP (NNS )(NN ))))(. )))
This processses wavelet analysis  which is an efficientool to obtain the variability level of any data series for differentime scales and different moments of analysis.; (TOP (NP (NP (DT )(NNS )(NN )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (DT )(NN ))(S (VP (TO )(VP (VB )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (NP (DT )(NNS )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(CC )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN )))))))))))))))(. )))
In this paper, weill use an enhanced version of the method introduced in  de-eloped by Dr. Wendt more recently called Wavelet Leader Multi-ractal  analysis toolbox.; (TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (NN ))(VP (VB )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(VP (VBN )(PP (IN )(ADJP (JJ )))(PP (IN )(NP (NP (NNP )(NNP ))(VP (ADVP (RBR )(RB ))(VBN )(S (NP (NNP )(NNP )(NNP )(NN )(NN )))))))))))(. )))
.4.; (TOP (S (VP (VB ))(. )))
